date,value
2021-05-23,35.37
2021-05-24,35.69
2021-05-25,35.92
2021-05-26,36.11
2021-05-27,36.27
2021-05-28,36.52
2021-05-29,36.93
2021-05-30,37.36
2021-05-31,37.59
2021-06-01,37.95
2021-06-02,38.37
2021-06-03,38.77
2021-06-04,39.16
2021-06-05,39.59
2021-06-06,40.03
2021-06-07,40.35
2021-06-08,40.66
2021-06-09,40.88
2021-06-10,41.17
2021-06-11,41.49
2021-06-12,41.93
2021-06-13,42.38
2021-06-14,42.74
2021-06-15,43.03
2021-06-16,43.31
2021-06-17,43.59
2021-06-18,43.93
2021-06-19,44.32
2021-06-20,44.72
2021-06-21,45.02
2021-06-22,45.22
2021-06-23,45.42
2021-06-24,45.63
2021-06-25,45.89
2021-06-26,46.26
2021-06-27,46.65
2021-06-28,46.95
2021-06-29,47.24
2021-06-30,47.51
2021-07-01,47.8
2021-07-02,48.06
2021-07-03,48.47
2021-07-04,48.91
2021-07-05,49.28
2021-07-06,49.55
2021-07-07,49.78
2021-07-08,50.0
2021-07-09,50.29
2021-07-10,50.7
2021-07-11,51.12
2021-07-12,51.41
2021-07-13,51.57
2021-07-14,51.74
2021-07-15,51.94
2021-07-16,52.23
2021-07-17,52.53
2021-07-18,52.83
2021-07-19,53.05
2021-07-20,53.24
2021-07-21,53.41
2021-07-22,53.58
2021-07-23,53.92
2021-07-24,54.34
2021-07-25,54.75
2021-07-26,55.08
2021-07-27,55.4
2021-07-28,55.75
2021-07-29,56.1
2021-07-30,56.45
2021-07-31,56.83
2021-08-01,57.28
2021-08-02,57.63
2021-08-03,57.93
2021-08-04,58.23
2021-08-05,58.53
2021-08-06,58.91
2021-08-07,59.3
2021-08-08,59.69
2021-08-09,59.99
2021-08-10,60.32
2021-08-11,60.6
2021-08-12,60.91
2021-08-13,61.24
2021-08-14,61.65
2021-08-15,62.04
2021-08-16,62.38
2021-08-17,62.67
2021-08-18,62.98
2021-08-19,63.29
2021-08-20,63.63
2021-08-21,64.0
2021-08-22,64.37
2021-08-23,64.7
2021-08-24,65.04
2021-08-25,65.35
2021-08-26,65.67
2021-08-27,66.02
2021-08-28,66.4
2021-08-29,66.79
2021-08-30,67.11
2021-08-31,67.29
2021-09-01,67.72
2021-09-02,67.93
2021-09-03,68.16
2021-09-04,68.46
2021-09-05,68.79
2021-09-06,69.12
2021-09-07,69.3
2021-09-08,69.51
2021-09-09,69.72
2021-09-10,69.93
2021-09-11,70.22
2021-09-12,70.51
2021-09-13,70.68
2021-09-14,70.82
2021-09-15,70.93
2021-09-16,71.05
2021-09-17,71.26
2021-09-18,71.55
2021-09-19,71.86
2021-09-20,72.04
2021-09-21,72.2
2021-09-22,72.36
2021-09-23,72.57
2021-09-24,72.81
2021-09-25,73.42
2021-09-26,73.81
2021-09-27,74.08
2021-09-28,74.29
2021-09-29,74.54
2021-09-30,74.71
2021-10-01,74.93
2021-10-02,75.17
2021-10-03,75.48
2021-10-04,75.65
2021-10-05,75.87
2021-10-06,75.99
